"age_class","var","value"
"0-9","pop",0.118574863476131
"10-19","pop",0.115752003134772
"20-29","pop",0.12863483070627
"30-39","pop",0.158984676786142
"40-49","pop",0.150148122961526
"50-59","pop",0.154368236677233
"60-69","pop",0.105371638917985
"70-79","pop",0.0496721490268388
"80+","pop",0.0184934783131012
"0-9","prop_cases_tmax",0.00931232091690544
"10-19","prop_cases_tmax",0.0122895773638968
"20-29","prop_cases_tmax",0.0810127148997135
"30-39","prop_cases_tmax",0.17012893982808
"40-49","prop_cases_tmax",0.191865150429799
"50-59","prop_cases_tmax",0.224032951289398
"60-69","prop_cases_tmax",0.192133775071633
"70-79","prop_cases_tmax",0.0877059455587393
"80+","prop_cases_tmax",0.0315186246418338
"0-9","prop_mort_tmax",0
"10-19","prop_mort_tmax",0.000977517106549365
"20-29","prop_mort_tmax",0.00684261974584555
"30-39","prop_mort_tmax",0.0175953079178886
"40-49","prop_mort_tmax",0.0371456500488759
"50-59","prop_mort_tmax",0.127077223851417
"60-69","prop_mort_tmax",0.302052785923754
"70-79","prop_mort_tmax",0.304985337243402
"80+","prop_mort_tmax",0.203323558162268
